id,raw_address,parsed_street_number,parsed_pre_directional,parsed_street_name,parsed_street_suffix,parsed_unit,normalized_address
none-170-north-11th-street-unit-3d-brooklyn-ny-11211,170 North 11th Street Unit 3D,170,N,11th,ST,3D,170 N 11TH ST APT 3D
none-74-jackson-street-unit-3a-brooklyn-ny-11211,74 Jackson Street Unit 3A,74,,Jackson,ST,3A,74 JACKSON ST APT 3A
none-20-bayard-street-unit-11b-brooklyn-ny-11211,20 Bayard Street Unit 11B,20,,Bayard,ST,11B,20 BAYARD ST APT 11B
none-976-metropolitan-avenue-unit-1b-brooklyn-ny-11211,976 Metropolitan Avenue Unit 1B,976,,Metropolitan,AVE,1B,976 METROPOLITAN AVE APT 1B
none-550-metropolitan-avenue-unit-commercial-brooklyn-ny-11211,550 Metropolitan Avenue Unit COMMERCIAL,550,,Metropolitan,AVE,,550 METROPOLITAN AVE
none-214-north-11th-street-unit-1l-brooklyn-ny-11211,214 North 11th Street Unit 1L,214,N,11th,ST,1L,214 N 11TH ST APT 1L
none-176-south-4th-street-unit-4a-brooklyn-ny-11211,176 South 4th Street Unit 4A,176,S,4th,ST,4A,176 S 4TH ST APT 4A
none-339-bedford-avenue-unit-8-brooklyn-ny-11211,339 Bedford Avenue Unit 8,339,,Bedford,AVE,8,339 BEDFORD AVE APT 8
none-185-withers-street-unit-4-brooklyn-ny-11211,185 Withers Street Unit 4,185,,Withers,ST,4,185 WITHERS ST APT 4
none-190-south-1st-street-unit-4b-brooklyn-ny-11211,190 South 1st Street Unit 4B,190,S,1st,ST,4B,190 S 1ST ST APT 4B
none-185-withers-street-unit-3-brooklyn-ny-11211,185 Withers Street Unit 3,185,,Withers,ST,3,185 WITHERS ST APT 3
none-185-withers-street-unit-2-brooklyn-ny-11211,185 Withers Street Unit 2,185,,Withers,ST,2,185 WITHERS ST APT 2
none-476-union-avenue-unit-4bb-brooklyn-ny-11211,476 Union Avenue Unit 4BB,476,,Union,AVE,4BB,476 UNION AVE APT 4BB
none-139-skillman-avenue-unit-8a-brooklyn-ny-11211,139 Skillman Avenue Unit 8A,139,,Skillman,AVE,8A,139 SKILLMAN AVE APT 8A
none-185-withers-street-unit-1-brooklyn-ny-11211,185 Withers Street Unit 1,185,,Withers,ST,1,185 WITHERS ST APT 1
none-jackson-street-unit-3-brooklyn-ny-11211,Jackson Street Unit 3,,,Jackson,ST,3,JACKSON ST APT 3
none-bayard-street-unit-3b-brooklyn-ny-11211,Bayard Street Unit 3B,,,Bayard,ST,3B,BAYARD ST APT 3B
none-jackson-street-unit-4-brooklyn-ny-11211,Jackson Street Unit 4,,,Jackson,ST,4,JACKSON ST APT 4
none-skillman-avenue-unit-2-brooklyn-ny-11211,Skillman Avenue Unit 2,,,Skillman,AVE,2,SKILLMAN AVE APT 2
none-north-11th-street-unit-5r-brooklyn-ny-11211,North 11th Street Unit 5R,,N,11th,ST,5R,N 11TH ST APT 5R
none-woodpoint-road-unit-1-brooklyn-ny-11211,Woodpoint Road Unit 1,,,Woodpoint,,1,WOODPOINT APT 1
none-south-5th-street-unit-2-brooklyn-ny-11211,South 5th Street Unit 2,,S,5th,ST,2,S 5TH ST APT 2
none-181-jackson-street-unit-ph-brooklyn-ny-11211,181 Jackson Street Unit PH,181,,Jackson,ST,,181 JACKSON ST
none-149-conselyea-street-unit-4a-brooklyn-ny-11211,149 Conselyea Street Unit 4A,149,,Conselyea,ST,4A,149 CONSELYEA ST APT 4A
none-719-grand-street-none-brooklyn-ny-11211,719 Grand Street NaN,719,,Grand,ST,,719 GRAND ST
none-171-north-1st-street-unit-5b-brooklyn-ny-11211,171 North 1st Street Unit 5B,171,N,1st,ST,5B,171 N 1ST ST APT 5B
none-323-south-5th-street-unit-4-brooklyn-ny-11211,323 South 5th Street Unit 4,323,S,5th,ST,4,323 S 5TH ST APT 4
none-234-powers-street-none-brooklyn-ny-11211,234 Powers Street NaN,234,,Powers,ST,,234 POWERS ST
none-360-south-3rd-street-none-brooklyn-ny-11211,360 South 3rd Street NaN,360,S,3rd,ST,,360 S 3RD ST
none-329-grand-street-none-brooklyn-ny-11211,329 Grand Street NaN,329,,Grand,ST,,329 GRAND ST
none-80-roebling-street-unit-1-brooklyn-ny-11211,80 Roebling Street Unit 1,80,,Roebling,ST,1,80 ROEBLING ST APT 1
none-237-devoe-street-unit-1r-brooklyn-ny-11211,237 Devoe Street Unit 1R,237,,Devoe,ST,1R,237 DEVOE ST APT 1R
none-296-manhattan-avenue-none-brooklyn-ny-11211,296 Manhattan Avenue NaN,296,,Manhattan,AVE,,296 MANHATTAN AVE
none-1-powers-street-unit-602-brooklyn-ny-11211,1 Powers Street Unit 602,1,,Powers,ST,602,1 POWERS ST APT 602
none-392-graham-avenue-unit-3b-brooklyn-ny-11211,392 Graham Avenue Unit 3B,392,,Graham,AVE,3B,392 GRAHAM AVE APT 3B
none-108-jackson-street-unit-1a-brooklyn-ny-11211,108 Jackson Street Unit 1A,108,,Jackson,ST,1A,108 JACKSON ST APT 1A
none-50-bayard-street-unit-3n-brooklyn-ny-11211,50 Bayard Street Unit 3N,50,,Bayard,ST,3N,50 BAYARD ST APT 3N
none-532-lorimer-street-unit-1b-williamsburg-ny-11211,532 Lorimer Street Unit 1B,532,,Lorimer,ST,1B,532 LORIMER ST APT 1B
none-207-north-8th-street-unit-ph-brooklyn-ny-11211,207 North 8th Street Unit PH,207,N,8th,ST,,207 N 8TH ST
none-183-south-2nd-street-none-brooklyn-ny-11211,183 South 2nd Street NaN,183,S,2nd,ST,,183 S 2ND ST
none-40-skillman-avenue-unit-3b-brooklyn-ny-11211,40 Skillman Avenue Unit 3B,40,,Skillman,AVE,3B,40 SKILLMAN AVE APT 3B
none-manhattan-avenue-unit-4f-brooklyn-ny-11211-0,Manhattan Avenue Unit 4F,,,Manhattan,AVE,4F,MANHATTAN AVE APT 4F
none-108-withers-street-none-brooklyn-ny-11211,108 Withers Street NaN,108,,Withers,ST,,108 WITHERS ST
none-390-broadway-none-williamsburg-ny-11211,390 Broadway NaN,390,w,Broadway NaN,,,390 W BROADWAY NAN
