transaction_id,matched_address_id,confidence_score,match_type
none-339-bedford-avenue-unit-8-brooklyn-ny-11211,5742.0,0.8841991424560547,fuzzy_prefix_block
none-361-manhattan-avenue-unit-4a-brooklyn-ny-11211,22962.0,0.8814102411270142,fuzzy_prefix_block
none-72-richardson-street-unit-19-brooklyn-ny-11211,8085.0,0.8983333110809326,fuzzy_prefix_block
none-364-manhattan-avenue-unit-4g-brooklyn-ny-11211,13362.0,0.8413461446762085,fuzzy_prefix_block
none-38-skillman-avenue-unit-1-brooklyn-ny-11211,27167.0,0.8841991424560547,fuzzy_prefix_block
none-38-skillman-avenue-unit-1-brooklyn-ny-11211-0,27167.0,0.8841991424560547,fuzzy_prefix_block
none-40-skillman-avenue-unit-3b-brooklyn-ny-11211-0,25914.0,0.8712121248245239,fuzzy_prefix_block
none-415-bedford-avenue-unit-23a-brooklyn-ny-11211,3678.0,0.7930434942245483,fuzzy_prefix_block
none-476-union-avenue-unit-4bb-brooklyn-ny-11211,6216.0,0.8113636374473572,fuzzy_prefix_block
none-476-union-avenue-unit-ph5a-brooklyn-ny-11211,7301.0,0.7613636255264282,fuzzy_prefix_block
none-50-bayard-street-unit-2g-brooklyn-ny-11211,9257.0,0.8590909242630005,fuzzy_prefix_block
none-526-union-avenue-unit-206-brooklyn-ny-11211,13861.0,0.865424394607544,fuzzy_prefix_block
none-532-lorimer-street-unit-1b-williamsburg-ny-11211,15686.0,0.8712121248245239,fuzzy_prefix_block
none-532-lorimer-street-unit-1b-williamsburg-ny-11211-0,15686.0,0.8712121248245239,fuzzy_prefix_block
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211,28030.0,0.9038461446762085,fuzzy_prefix_block
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211-0,28030.0,0.9038461446762085,fuzzy_prefix_block
none-549-metropolitan-avenue-unit-a-williamsburg-ny-11211,22585.0,0.9038461446762085,fuzzy_prefix_block
none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211-0,13974.0,0.9038461446762085,fuzzy_prefix_block
none-550-metropolitan-avenue-unit-commercial-brooklyn-ny-11211,13974.0,0.9038461446762085,fuzzy_prefix_block
none-590-lorimer-street-unit-1-brooklyn-ny-11211,15947.0,0.7142857313156128,fuzzy_prefix_block
none-679-lorimer-street-none-brooklyn-ny-11211,20724.0,0.8571428656578064,fuzzy_prefix_block
none-72-richardson-street-unit-19-brooklyn-ny-11211-0,8085.0,0.8983333110809326,fuzzy_prefix_block
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211,13199.0,0.8753315806388855,fuzzy_prefix_block
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211-0,16408.0,0.8753315806388855,fuzzy_prefix_block
none-739-grand-street-none-brooklyn-ny-11211,27839.0,0.90625,fuzzy_prefix_block
none-739-grand-street-none-brooklyn-ny-11211-0,27839.0,0.90625,fuzzy_prefix_block
none-76-richardson-street-unit-7-brooklyn-ny-11211,3615.0,0.9147727489471436,fuzzy_prefix_block
none-76-richardson-street-unit-7-williamsburg-ny-11211,19517.0,0.9147727489471436,fuzzy_prefix_block
none-76-roebling-street-unit-4b-brooklyn-ny-11211,12274.0,0.8712121248245239,fuzzy_prefix_block
none-764-metropolitan-avenue-unit-2b-brooklyn-ny-11211,29480.0,0.7777777910232544,fuzzy_prefix_block
none-88-withers-street-unit-ph3-brooklyn-ny-11211,8632.0,0.8712121248245239,fuzzy_prefix_block
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211,20536.0,0.8695651888847351,fuzzy_prefix_block
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211-0,20536.0,0.8695651888847351,fuzzy_prefix_block
none-manhattan-avenue-unit-2r-brooklyn-ny-11211,3554.0,0.7916666865348816,fuzzy_prefix_block
none-277-south-2nd-street-none-brooklyn-ny-11211,6549.0,0.6,phonetic
none-13-conselyea-street-none-brooklyn-ny-11211,10675.0,0.6,phonetic
none-withers-street-unit-2-brooklyn-ny-11211,1004.0,0.6,phonetic
rplu-10325230448-174-north-6th-street-none-brooklyn-ny-11211,1281.0,0.6,phonetic
none-skillman-avenue-unit-4f-brooklyn-ny-11211,24505.0,0.6,phonetic
none-bushwick-avenue-unit-8b-brooklyn-ny-11211,9475.0,0.6,phonetic
none-maspeth-avenue-unit-2d-brooklyn-ny-11211,25007.0,0.6,phonetic
none-bayard-street-unit-3g-brooklyn-ny-11211,2972.0,0.6,phonetic
none-grand-street-none-brooklyn-ny-11211,27415.0,0.6,phonetic
none-division-avenue-unit-16-brooklyn-ny-11211,10540.0,0.6,phonetic
none-skillman-avenue-unit-1a-brooklyn-ny-11211,5741.0,0.6,phonetic
none-bushwick-avenue-unit-7b-brooklyn-ny-11211,11223.0,0.6,phonetic
none-684-lorimer-street-none-brooklyn-ny-11211,1928.0,0.6,phonetic
none-30-bushwick-avenue-unit-5c-brooklyn-ny-11211,28370.0,0.6,phonetic
none-270-south-2nd-street-none-brooklyn-ny-11211,6549.0,0.6,phonetic
none-bayard-street-unit-3b-brooklyn-ny-11211,10727.0,0.6,phonetic
none-234-powers-street-none-brooklyn-ny-11211,9697.0,0.6,phonetic
none-183-south-2nd-street-none-brooklyn-ny-11211,1855.0,0.6,phonetic
none-jackson-street-unit-ph-brooklyn-ny-11211,22.0,0.6,phonetic
none-manhattan-avenue-unit-3f-brooklyn-ny-11211-0,13362.0,0.6,phonetic
none-devoe-street-unit-2r-brooklyn-ny-11211-0,13237.0,0.6,phonetic
none-lorimer-street-unit-1-brooklyn-ny-11211,180.0,0.6,phonetic
none-skillman-avenue-unit-3b-brooklyn-ny-11211,8664.0,0.6,phonetic
none-229-withers-street-unit-2a-brooklyn-ny-11211,12471.0,0.6,phonetic
